customer_sentiment,conversation
neutral, hi i recently received an oven toaster grills otg from brownbox but its not working i need to replace it as soon as possible  sure my order number is bb987654321  yes sure the otg is not heating up and i tried all the troubleshooting steps mentioned in the manual i think its a defective piece and i need a replacement as soon as possible agent puts the  on hold for a few minutes  thank you emily thats great news can you tell me how long it will take to receive the replacement otg  alright emily i understand thank you for your help is there anything else i need to do in the meantime  okay emily i will keep the defective otg and wait for your email thank you for your assistance  thank you emily you too goodbye
negative, hi rachel i am calling to inquire about the delivery of my refrigerator it was supposed to be delivered last week but it hasnt arrived yet  yes its 123456  this is unacceptable i was promised that my refrigerator would be delivered last week and now i have to wait even longer i need it urgently  thank you rachel i appreciate your efforts can you confirm the delivery date and time  no thats all for now thank you for your help  you too goodbye
neutral, hello i purchased a wet grinder from brownbox and im not sure when the warranty starts can you help me with that  sure its bb987654321  okay thank you for letting me know i just wanted to make sure i had the right information  no thats all thank you for your help  thank you you too goodbye
negative, hi im calling because i have a billing issue with my recent purchase  sure my order number is bb987654321  i was charged an incorrect amount for a juicermixergrinder that i purchased from brownbox i was supposed to be charged 50 but my credit card shows that i was charged 75  sure no problem agent puts the  on hold for two minutes  thats good to hear what can we do to fix this  yes that sounds fair thank you for your help  sure the last four digits are 1234  no thats all thank you for your help john  thank you john have a great day too goodbye
negative, hi sarah my name is lisa i want to cancel my order for a sandwich maker that i purchased from your website  i found a better deal on another website  its been two days since i placed the order can i get a full refund  thats not fair i want a full refund i dont want to keep the product or store credit  no i want to speak to your supervisor this is unacceptable agent transfers the call to the supervisor supervisor hello this is tom the supervisor how can i assist you today  hi tom i want a full refund for my sandwich maker your agent is not helping me supervisor im sorry to hear that lisa may i know the reason for the cancellation  i found a better deal on another website supervisor i understand as per our policy we cannot offer you a full refund after the 24hour window however as a onetime exception i can offer you a full refund for your sandwich maker can you confirm if you want a refund to your original payment method or store credit  i want a refund to my original payment method supervisor sure lisa i have processed the refund and you will receive it within 35 business days is there anything else i can assist you with  no thats all thank you for your help supervisor youre welcome lisa if you have any further questions or need assistance in the future feel free to reach out to us have a great day  thank you you too goodbye supervisor goodbye
neutral, hi john this is tom i have a question regarding the warranty for an inverter i purchased from your website  yes my order number is bb987654321  well i received the inverter a few days ago and im not sure when the warranty starts can you help me determine the start date  oh i see thank you for clarifying that john  no thats all thank you for your help  i appreciate your assistance john have a great day
negative, hi sarah im john i have an issue with my recent order  sure my order number is bb123456789  im very disappointed because i havent received my package yet its been two weeks since i placed the order and i havent received any updates on the shipping i was wondering if you could provide me with a tracking number or any information about the status of my package  is put on hold for a minute  i already checked the tracking information sarah the package is still in transit and the estimated delivery date was yesterday whats going on  is put on hold for a few minutes  this is unacceptable sarah i paid for express shipping and i expected to receive my package on time what are you going to do to fix this  i guess thats better than nothing sarah but im still very disappointed with the service  no thats all i just hope i receive my package soon  alright thank you sarah
neutral, hi i have a query regarding my account  sure my name is john and my email address is johngmailcom  i want to purchase a refrigerator but im not sure if i need an account to do so  okay ill create an account then but i have another question do i need to provide any additional information to purchase a refrigerator  alright i understand but what if i want to return the refrigerator whats your return policy  thats good to know thank you for your help  no thats all thank you again
neutral, hi sarah this is john i am having trouble logging into my account  sure my email address is johnemailcom  yes thats right i am not receiving any verification code on my email  sure take your time agent puts the  on hold briefly to investigate the issue  i appreciate your assistance sarah  i would like to try receiving the verification code once again sarah  alright thank you sarah  no thats all for now thank you for your help  i appreciate your assistance sarah have a nice day
negative, hello i would like to inquire about the estimated delivery time for my coffee maker order  my name is mary and my order number is 987654321  is put on hold for a minute  three to five business days thats too long i need it urgently  a refund is not what i want i need the coffee maker as soon as possible can you do anything to expedite the shipping  is put on hold for a minute  a discount is not what i want i need the coffee maker urgently can i speak to your manager  okay my phone number is 1234567890 and my email is maryemailcom  no thats all for now  goodbye
neutral, hi sarah i recently purchased a dslr camera from your website and i want to know how to access the warranty details  yes my order number is bb123456 and the camera model is nikon d5600  okay let me try that hold on for a moment  puts the call on hold after a few minutes  hi sarah i logged in to my account but i cant seem to find the my orders section  okay i found it now i selected my order number but i cant see any warranty details  yes i received a warranty card with the camera  okay i found the warranty card it says the warranty period is for one year and i need to contact the manufacturer for any issues during the warranty period  no thats all for now thank you for your help sarah  thank you you too goodbye
negative, hi my name is john and i have a problem with my order i ordered an air conditioner a week ago and it hasnt been delivered yet  sure my order number is bb123456789 agent puts the  on hold for a few minutes  this is unacceptable i need the air conditioner urgently and i cant wait any longer agent puts the  on hold for a few minutes  i dont want a refund i need the air conditioner  yes please do that  no thats all  goodbye
negative, hello i was trying to place an order for baby food on your website and it seems like i cant get it delivered to my location  my name is jane and my email is janedoeemailcom  i live in a small town in the countryside and i understand that delivery might take longer but i was hoping to get it sooner as im running low on baby food  is put on hold  this is unacceptable i need the baby food as soon as possible and i cant believe you dont have faster delivery options available  yes please that would be helpful  provides the zip code  yes please that would be great  no that will be all thank you for your help alex  thank you alex you too goodbye
negative, hi sarah im calling to change the address for the item pickup of my pramstroller  my order number is 789012 and i purchased it on the 15th of this month  yes the new address is 123 main street anytown usa  is on hold for a minute  no its not within the same zip code  this is ridiculous i dont want to cancel the order i need the pramstroller and i cannot wait for a new one to arrive  is on hold for a minute  yes that would be great thank you  is on hold for a minute  okay thank you for your help  no thats all thank you
negative, hi alex im having trouble tracking my order for a power bank i received an email stating that my order has been shipped but i cant seem to find any tracking information  my order number is 789012 and i purchased it on the 20th of last month  on hold for 2 minutes  what thats ridiculous why wasnt i informed about this earlier  so what happens now will my order be delivered again  my shipping address is 123 main street anytown usa  okay but what about the delay can you expedite the shipping or offer me a discount for the inconvenience caused  this is unacceptable i demand compensation for the delay  yes please transfer my call to someone who can help me  transferred to a senior agent
negative, hi sarah i am calling to inquire about my recent return request for a sandwich maker  my name is lisa and my order number is bb987654321  is put on hold for a minute  they mentioned that the product was damaged and not eligible for a refund or repair however i did not receive the product in that condition and it stopped working after a few uses  is put on hold for a few minutes  i appreciate your understanding sarah however i would like to have the product repaired or replaced instead of a partial refund  i suppose thats better than nothing can you please provide me with the details of the replacement process  thank you for your help sarah i appreciate your effort to resolve the issue  alright i will thank you again sarah have a good day
negative, hi i have a problem with a pair of sunglasses i purchased from brownbox i tried to get them repaired at the service center but they denied the request can you help me with this  sure my order number is 98765432 and my name is john smith  yes the frame of the sunglasses broke and i took them to the service center for repair but they denied my request saying that its not covered under the warranty  they said that the damage was caused by misuse and not a manufacturing defect  is put on hold for a few minutes  thank you so much alex i appreciate your help  thats okay im just glad that i can get my sunglasses repaired thank you again alex  no thats all thank you for your assistance
negative, hi im calling to inquire about the estimated delivery time for my vacuum cleaner i placed the order a week ago and it still hasnt arrived  sure its 123456789  thats not acceptable i needed the vacuum cleaner urgently and i was promised it would be delivered within 35 business days its already been a week and i havent received it yet agent puts the  on hold for a few minutes  okay i hope so but this delay has caused me a lot of inconvenience can you offer me any compensation for this delay  this is unacceptable i demand compensation for the inconvenience caused  i guess thats better than nothing fine ill accept the discount  no thats all for now  hangs up
negative, hi sarah i am calling to inquire about the exchange offer for a toy that i recently purchased from brownbox  the order number is bb789012 and the toys name is transformers bumblebee  the toy arrived damaged the paint was chipped and the wheels were not working correctly  i would prefer a pickup it would be more convenient for me  yes my address is 456 park avenue anytown usa and my contact number is 555 9876543  no that wont work for me i wont be available at that time  how about wednesday between 4 pm and 6 pm  yes i noticed that the toy is now available at a discounted price on your website can i get the discount if i exchange it  yes that would be great  no thats all for now thank you for your help sarah  you too sarah goodbye
neutral, hi alex i am trying to sign up for a water purifier on your website but i am having trouble with the login process i am an international  and i dont have a us phone number to receive the verification code can you help me with that  sure its johndoeemailcom  yes please that would be great  yes i can do that how do i send it to you  okay ill do that how long will it take to verify my identification  no thats all for now thank you for your help alex  thank you you too goodbye
negative, hi i have a question about the estimated delivery time for my backpack order  sure its bb987654321  okay ill hold  five business days thats too long i need the backpack for a trip this weekend  okay ill hold  i guess thats better than nothing how long will the refund take  no thats all thanks for your help  thanks you too goodbye
negative, hi sarah my name is jane and i have a question about my order  sure my order number is bb987654321  im really frustrated because my dishwasher was out for delivery yesterday but i still havent received it i was wondering if you can help me track it down  is put on hold for a minute  yes i have been tracking it it says it was out for delivery yesterday but i still havent received it yet  is put on hold for a few minutes  im not happy about this at all sarah i paid for express shipping and i expect to receive my package on time  no thats all for now i just want my dishwasher delivered as soon as possible  alright thank you sarah
neutral, hi john my name is tom i want to check the status of my refund for a bp monitor that i returned last week  sure my order number is bb12345  yes its tomexamplecom agent checks the status of the refund  thats great to hear john can you tell me how long it will take for the amount to reflect in my account  okay i understand thanks for your help john  no thats all for now thanks again  you too john goodbye
negative, hi sarah i ordered a pendrive from brownbox a week ago but i havent received it yet can you please help me with the delivery status  sure my order number is 123456  a week is too long of a delay sarah i needed the pendrive for a project and now im behind schedule  is put on hold  i appreciate the offer sarah but i need the pendrive as soon as possible can you please check if its possible to get it delivered by tomorrow  thats still not ideal sarah is there anything else you can do to help me  yes please that would be great  no thats all thank you for your help sarah  you too goodbye
neutral, hi i received a pair of shorts yesterday and i need to return them can you tell me how to proceed with that  yes its 123456  they dont fit me well  yes thats fine  okay im on the website and logged in ive found the order and clicked on return item  ive done that what happens next  okay i understand thank you for your help  no thats all thank you again  you too goodbye
neutral, hi i have a question about the warranty for the headphones i just received  sure its bb123456789  i was wondering if the warranty is affected if the headphones are installed by brownbox instead of me  sure ill hold  thats great news can you assist me with the installation process then  yes i do  its xyz123  okay ill do that  thank you thats very helpful  no thats all thank you for your help  thank you you too goodbye
neutral, hi john i recently purchased a tablet from your website and im having trouble installing it can you help me with that  its a brownbox tab 10  i havent tried installing it myself i was wondering if your company could install it for me and if that would affect the warranty  okay thank you for letting me know can you walk me through the installation process  yes its turned on and connected to a power source  okay its connected to my home wifi network  okay its asking me to enter my google account information do i need to do that  okay i entered my google account information and its now asking me to set up a pin  alright i set up a pin its now asking me to update the software should i do that  okay the software is now updated thank you for your help john  no thats all thank you for your assistance
neutral, hi john my name is alex i have noticed some discrepancies in book pricing on your website there are different prices for books with the same title and im not sure why  sure my email is alex123gmailcom and the book title is the alchemist by paulo coelho agent puts the  on hold for a few minutes  oh i see i didnt realize that but i also noticed that there are different prices for the paperback edition itself some are priced at 1099 while others are priced at 1299  okay i understand is there anything else you can do to help me with this  yes please that would be great  no thats it thank you for your help john  thank you john you too goodbye
negative, hi rachel my name is emily i recently received an induction cooktop from brownbox but its not working properly id like to return it and get a replacement can you help me with that  yes my order number is bb246810  yes the cooktop isnt heating up properly ive tried troubleshooting it but its still not working as it should  yes that sounds good how long will it take for me to receive the replacement  alright that sounds good will i have to pay for the return shipping  sure my email address is emilyjohnsonexamplecom  no thats all for now im just disappointed that the cooktop didnt work as expected  no thats all thank you for your help rachel  thank you rachel you too goodbye
negative, hi alex i recently purchased a vacuum cleaner from your website and it stopped working after two months i contacted your service center for a replacement but they denied my request i am very disappointed with the service  sure my order number is bb987654 and my registered email address is johndoeemailcom  is put on hold for a minute  but the vacuum cleaner stopped working after two months and i was busy with work and couldnt contact you earlier  yes i have tried everything but its still not working  this is ridiculous i am never going to shop from brownbox again  no thats all
negative, hi sarah i have a problem with the dishwasher i received from your company i want to return it and get a replacement  sure my order number is bb789012 and my email address is johnsmithemailcom  the dishwasher stopped working after a few uses i want to return it and get a replacement agent puts the  on hold briefly to check the issue  i dont want a refund i want a replacement can you please check again if there is any way to get a replacement  this is unacceptable i need a replacement as soon as possible can you please tell me how much the return fee will be agent puts the  on hold briefly to check the return policy  50 thats ridiculous i shouldnt be charged for something thats not my fault  the product was defective upon arrival i shouldnt have to pay the return fee  okay ill send you the pictures right away  sends the pictures to the agent  okay thank you for your help sarah  you too sarah goodbye
negative, hi sarah i am calling to inquire about my refund for a watch that i returned i had paid for it using cash on delivery and i havent received any updates on my refund yet  sure my order number is bb123456 agent puts the  on hold briefly to check the issue  okay i understand but i had also paid for the courier charges while returning the watch will i be reimbursed for that as well  why do i have to pay a processing fee i had already paid for the courier charges while returning the watch  okay i see can you please confirm the amount that i will be receiving as a refund agent checks the refund amount and confirms with the   okay thank you for the information when can i expect to receive the cheque  okay thank you for your help sarah  no thats all for now thank you again  you too sarah goodbye
neutral, hi sarah im calling to check the confirmation of my order for an electric cooker  yes its 123456 agent puts the  on hold for a minute  thats great news thank you for your help  no thats all for now thank you  thank you you too goodbye
negative, hi emily my name is jane i recently received a smart band from brownbox but id like to return it can you help me with the return process  yes my order number is bb123456789  yes the smart band isnt working properly and id like to return it for a refund  it doesnt track my steps accurately and the heart rate monitor is not working at all  sure ill hold after a few minutes  what why do i have to pay a return fee when the product is defective  okay thats better how do i return the smart band  yes thats fine thank you for waiving the return fee emily  no thats all for now thank you for your help emily  thank you emily you too goodbye
neutral, hi i am calling to check the status of my order for a pramstroller that i placed last week  yes my order number is bb987654321  is put on hold for a minute  no thats all i needed to know thank you for your help  thank you you too goodbye
neutral, hi rachel im having trouble logging into my account i keep getting an error message saying that ive exceeded attempts to enter the correct verification code  sure my email is johndoeemailcom and my order number is 123456789  yes its 555 1234567  yes please do that  okay i received the code and entered it it worked thank you so much rachel  no thats all thank you again for your help
neutral, hi john i recently ordered a headphone from brownbox and i want to know how i can schedule a pickup for it  yes my name is mike and my order number is bb67890  okay but im not able to find the pickup option on my account can you guide me through it  logs in to their account  navigates to the order details page  okay i found it now how can i schedule the pickup  okay i have selected the pickup slot do i need to prepare anything for the pickup  alright i will prepare it accordingly thank you for your help john  no thats all thank you for your assistance
neutral, hello i have an issue with a water geyser i purchased from brownbox  yes its bb987654321  i received the water geyser but its not working correctly i want to return it  what do you mean i purchased it online and its not working i should be able to return it  okay i see so whats the replacement process  alright lets troubleshoot it then  its not heating the water at all  yes i did that already its still not working  okay thank you for your help  no thats all thank you for your assistance  thank you you too goodbye
neutral, hi jane i am trying to buy a bp monitor but i noticed that the payment mode cash on delivery is not available can you help me with that  its the omron bp monitor  yes i can pay through my debit card can you guide me on how to do that  okay let me try that  adds the omron bp monitor to the cart and proceeds to checkout  i am on the payment page now i have selected debitcredit card as the payment mode but i am not able to enter my card details  i tried refreshing the page but its still not working agent checks the system and finds out that there is a technical issue with the payment gateway  yes i can use net banking can you guide me on how to do that  okay let me try that  adds the omron bp monitor to the cart and proceeds to checkout  i am on the payment page now i have selected net banking as the payment mode and selected my bank but i am not able to complete the transaction  let me try using a different device  tries using a different device and is able to complete the transaction successfully  thank you so much for your help jane i was able to complete the transaction using a different device  no thats all for now thanks again  you too jane goodbye
neutral, hi john i recently purchased a juicermixergrinder from brownbox and i want to know the start date of the warranty  yes my order number is bb67890 and the product is a philips juicermixergrinder  i received the product on september 1st  no thats all thank you for your help  you too goodbye
negative, hi i placed an order for a speaker and paid for it using cash on delivery however when i received the product it was damaged and i want to return it and get a refund  yes my order number is bb67890 and the product is a jbl speaker  on hold for a minute  why do you need my bank details i paid using cash on delivery  okay i understand my bank account number is 1234567890 and the ifsc code is abcd1234  that sounds good how long will it take for me to receive the refund  okay thats fine can you please guide me on how to return the product  thank you for your help youve been very understanding and helpful  no thats all thank you again  you too goodbye
neutral, hi tom my name is emily im having trouble signing up for a sunglass on your website using my corporate email id can you help me with that  sure its emilysmithbrownboxcorpcom  im not seeing any error message but im not able to complete the signup process its just not going through  sure i can hold after a brief hold  okay ill try that how do i clear my browser cache and cookies  im using google chrome  okay ive cleared my cache and cookies now what  okay ill try that after a few minutes  it worked i was able to sign up using my corporate email id thank you so much tom  no thats all for now thank you again for your help  thank you tom you too goodbye
neutral, hi john i have a question about my loyalty points for my recent purchase of baby food  my name is jane smith and my email address is janesmithemailcom  yes im not sure how to redeem my points or what they can be used for  that sounds easy enough can i redeem my points for my next purchase of baby food  no thats all for now thank you for your help john  thanks you too goodbye
negative, hi john i placed an order for a tablet two days ago and i was wondering if there are any faster delivery options available  sure its bb123456789 agent puts the  on hold for a few minutes  what do you mean i need the tablet urgently and i was expecting it to arrive soon  this is unacceptable i need the tablet by next week and i cant wait for long  no i just want to cancel my order this is not what i was expecting from brownbox  i found another website that offers faster delivery options and i cant wait for long agent puts the  on hold for a few minutes  okay please cancel it and i want a refund  no thats it thank you for your help  thank you bye
negative, hello i have a billing discrepancy on my recent order from brownbox  sure my name is jane doe and my order number is 987654321  yes i purchased a computer monitor for 150 but my credit card statement shows that i was charged 200  is put on hold for a minute  thank you max i appreciate your help  sure its 1234  no thats all max just to confirm i wont be charged any additional fees for this refund right  no thats all thank you for your help max  you too max goodbye
neutral, hi john i placed an order for a sandwich maker last week and i havent received the invoice yet  sure its 345678901  thank you john i appreciate your help  oh i didnt think of that let me check after a few minutes  i found it in my spam folder thank you so much john  no thats all thank you again for your help
neutral, hi i am trying to find my invoice for the mobile i purchased from brownbox but i cant seem to locate it  my name is jane and my order number is 987654321  is put on hold for a minute  i have checked my account but i cant seem to find the invoice can you please help me locate it  is put on hold for a minute  okay thank you but i need the invoice urgently as i have to submit it to my company  yes that would be great thank you  no thats all for now thank you for your help  you too goodbye
neutral, hi im calling because i noticed some discrepancies in the pricing of books on your website  my name is john smith and i dont have an order number i was just browsing your website and noticed that there are different prices for books with the same title  sure i was looking at the great gatsby by f scott fitzgerald and i noticed that there are two different prices for the same book one is 1299 and the other is 1599  sure no problem agent puts the  on hold for a few minutes  okay thats good to hear but what about other books with different prices  sure to kill a mockingbird by harper lee is priced at 999 on one page and 1199 on another page  okay thank you when can i expect to see these issues resolved  alright thank you for your help
negative, hi jack my name is john i have been trying to redeem my reward points for an air conditioner but i am facing some issues  my account number is 123456789 and the air conditioner model is xyz agent puts the  on hold and checks the account details and air conditioner availability  no i want that particular model only can you tell me when it will be back in stock  okay my email address is johnexamplecom  no i am not satisfied with the service i have been waiting for a long time to redeem my reward points and now the air conditioner is out of stock this is not acceptable  okay my contact number is 1234567890  no thats all for now  goodbye
negative, hi rachel im calling about my order for a laptop it was supposed to be delivered today but it hasnt arrived yet  yes its bb123456 agent puts the  on hold to check the order status  what do you mean by unforeseen circumstances i need the laptop urgently  can you give me an estimated delivery date  thats not good enough i need the laptop tomorrow for an important presentation agent puts the  on hold to check the delivery options  yes i need the laptop urgently please expedite the delivery  thank you for your help rachel  no thats all for now  thanks you too goodbye
neutral, hi i have a concern about my recent purchase of a speaker from your website  sure my name is alex and my email is alex123gmailcom  i received my speaker and its working fine but when i checked my bank statement i noticed that i was charged more than the price on your website i think there might be some hidden charges that i was not aware of  yes my order number is bb123456789  is put on hold for a minute  oh i see i must have missed that during the checkout process thank you for clarifying that sarah  no thats all i needed to know thank you for your help  thank you you too goodbye
neutral, hi i have a question about the warranty terms for a ceiling fan i purchased from brownbox  yes my name is jane and my order number is bb987654321  i received an email stating that the warranty terms have changed i wanted to know how this will impact my product and if there are any changes i should be aware of  thats good to know what are the new changes in the warranty terms  i see thank you for clarifying that for me i appreciate it  no thats all i needed to know thank you  thank you you too goodbye
neutral, hi i recently ordered a tshirt from brownbox and i want to change the email id linked to my account can you help me with that  its johndoegmailcom  sure my mobile number is 1234567890 and the email id that i want to link to my account is johndoeyahoocom agent puts the  on hold for a few minutes  okay please go ahead  receives the verification code and provides it to the agent agent updates the email id in the system  no thats all for now thank you for your assistance
neutral, hi i am having trouble logging into my brownbox account on the mobile app using my mobile number  yes my mobile number is 1 1234567890  is put on hold for a minute  yes i am sure i even received an otp on this number while creating the account  okay i will try that thank you for your help  no thats all for now  thank you you too goodbye
neutral, hi i recently purchased a ceiling fan from your website and its not working correctly i want to claim warranty for it  sure my order number is 12345 and the fan is making a lot of noise and the blades are not rotating correctly  sure i can wait  okay what are the next steps  okay i understand is there anything else i need to do  no thats all thank you for your help  you too goodbye
neutral, hi rachel my name is sarah i recently purchased a wristwatch from your website and im wondering if there is any impact on warranty if the watch is installed by your company  its a citizen ecodrive womens watch  thats great to hear can you tell me more about the installation process  that sounds good how do i schedule an installation appointment  okay ill do that thank you for your help  no thats all for now thank you  you too goodbye
neutral, hi lisa i need help with a return check and fee for a pair of shoes that i returned  yes my order number is bb67890  the shoes didnt fit me well agent puts the  on hold to check the account  what i wasnt aware of any return fee  i see can you help me with the return fee  that sounds fair thank you  no thats all for now  you too goodbye
negative, hi sarah my name is lisa i have an issue with my order delivery its a toy that was supposed to be delivered yesterday but i havent received it yet  sure its bb67890 agent checks the status of the order  but its already 7 pm and i havent received it yet whats going on  this is unacceptable i ordered this toy for my daughters birthday and now its ruined because of your poor service  fine but make it quick agent puts the  on hold and consults with a senior team member  thats better when can i expect the new toy to be delivered  okay ill wait for the new toy but im still not happy with your service  no thats all for now  goodbye
neutral, hi im calling because i noticed some discrepancies in the pricing of books on brownbox  yes i was looking for a book titled the electric kettle on your website and i noticed that there are different prices for the same title some books are priced at 15 while others are priced at 30  sure take your time agent puts the  on hold for three minutes  thats good to hear what can we do to fix this  i dont have that information with me right now can you please help me find it  yes the authors name is john doe and the publishers name is xyz publications agent puts the  on hold for five minutes  yes that sounds good when can i expect to hear back from them  sure my email address is johndoeemailcom and my phone number is 1234567890  no thats all thank you for your help sarah  thank you sarah have a great day too goodbye
neutral, hi i recently purchased a pendrive from your website and i want to register it for warranty benefits can you guide me on how to do that  sure my order number is 123456 and the model is xyz  okay ill do that do i need any other information like a serial number or something  no i think i have it thanks for your help  no thats all for now thanks again
neutral, hi sarah i am having trouble logging into my account i keep getting an error message saying that ive exceeded the attempts to enter the correct verification code for my sandwich maker  sure my email address is johndoeexamplecom and my order number is bb123456789  okay thank you agent transfers the call to the verification team verification agent hello this is the verification team may i know your name and order number please  hi my name is john doe and my order number is bb123456789 verification agent thank you john i can see that youve exceeded the attempts to enter the verification code for your sandwich maker to resolve this issue ill need to reset your verification code from my end could you please confirm your registered phone number with us  yes my phone number is 123 4567890 verification agent thank you for confirming im sending a new verification code to your registered phone number please check your message inbox and enter the code on the verification page  okay ive received the new code let me enter it verification agent great you should be able to log in now is there anything else i can assist you with  no thats all thank you for your help verification agent youre welcome john have a great day  hangs up
negative, hello i have a query regarding exchange offers for a tshirt  sure my order number is bb987654321  i am trying to exchange a tshirt that i purchased last week but i am not getting the discount that was promised in the exchange offer  the offer stated that i would get a 20 discount on my next purchase if i exchange my old tshirt for a new one  sure ill be on hold  but thats not what was mentioned in the offer it clearly stated that i would get a discount on my next purchase  okay please do that  thats better than nothing i guess please give me the coupon code  okay thank you for your help  thank you you too goodbye
neutral, hi i would like to know about the pickup process for my tablet  my name is david and my order number is 123456789  is put on hold for a minute  i want to pick it up from the store can you tell me the pickup process  is there anything else i need to bring with me  okay thank you can you tell me the store location and working hours  okay thank you thats all i needed to know  no thats all for now  you too goodbye
neutral, hi i need some help with my account  hi sarah i need to change my password for my brownbox account can you help me with that  my account email address is johndoeemailcom  yes the last four digits are 1234  okay i am on the signin page  done  i see it  got it  okay i have entered the new password  no thats all thank you for your help sarah
neutral, hi john i recently purchased an induction cooktop from brownbox and im having trouble logging in to my account its asking me to verify my mobile number and email address  sure my email address is johndoeemailcom and my mobile number is 1234567890 agent puts the  on hold briefly to look up the information  okay i understand how do i verify my mobile number and email address  okay i see can you help me with the verification process after a few minutes  i received the verification code what should i do now  okay let me do that  enters the verification code and clicks on verify button  it worked my mobile number and email address are now verified  no thats all thank you for your help john  thank you john you too goodbye
negative, hello i placed an order for a pendrive on your website and it was out for delivery two days ago but i havent received it yet  my name is john and my order number is b3456  is put on hold  this is frustrating i need the pendrive urgently for my work and i cant believe its taking so long  is put on hold  thats good to hear but i needed it today can you do anything to expedite the delivery  thats not enough i need the pendrive today and im very disappointed with your service  is put on hold  that sounds great thank you for your help sarah  no that will be all thank you for your help  thank you sarah goodbye
